onset	duration	trial_type
1100.87916666667	0	125
1101.09583333333	0	105
1103.055	0	125
1103.82166666667	0	105
1106.49	0	7
1108.48833333333	0	27
1110.48083333333	0	113
1110.8475	0	117
1113.2975	0	113
1115.45666666667	0	117
1117.80666666667	0	113
1120.84	0	117
1123.49333333333	0	5
1125.49083333333	0	25
1127.0825	0	109
1127.16583333333	0	121
1129.38333333333	0	109
1129.95	0	121
1131.64166666667	0	109
1132.76666666667	0	121
1133.925	0	109
1135.2175	0	121
1136.2675	0	109
1137.5175	0	121
1140.495	0	8
1142.49333333333	0	28
1143.76	0	114
1144.56833333333	0	118
1147.44416666667	0	114
1149.74416666667	0	118
1152.39416666667	0	114
1154.21166666667	0	118
1154.41166666667	0	114
1157.49666666667	0	1
1159.49583333333	0	21
1160.5375	0	129
1161.12083333333	0	101
1163.22916666667	0	129
1163.79583333333	0	101
1166.71333333333	0	129
1168.73833333333	0	101
1168.88	0	129
1171.255	0	101
1174.5	0	2
1176.4975	0	22
1178.48083333333	0	102
1178.63083333333	0	130
1181.35666666667	0	102
1183.115	0	130
1183.44	0	102
1186.44916666667	0	130
1187.61583333333	0	102
1188.94083333333	0	130
1191.50166666667	0	7
1193.5	0	27
1194.93333333333	0	113
1195	0	117
1197.65833333333	0	113
1199.67583333333	0	117
1201.7175	0	113
1203.2175	0	117
1205.50416666667	0	113
1208.50416666667	0	8
1210.50166666667	0	28
1211.65166666667	0	118
1212.01	0	114
1215.17916666667	0	118
1215.2275	0	114
1217.6275	0	118
1219.76166666667	0	114
1220.01166666667	0	118
1222.47	0	114
1222.77833333333	0	118
1225.50583333333	0	1
1227.50416666667	0	21
1228.57916666667	0	129
1229.00416666667	0	101
1232.06333333333	0	129
1232.26333333333	0	101
1234.53	0	129
1236.77166666667	0	101
1236.93	0	129
1239.7475	0	101
1242.50833333333	0	4
1244.50583333333	0	24
1245.94833333333	0	106
1246.79833333333	0	126
1248.62333333333	0	106
1249.14833333333	0	126
1250.7825	0	106
1251.8825	0	126
1253.97416666667	0	106
1253.99916666667	0	126
1256.29916666667	0	106
1256.3825	0	126
1259.51083333333	0	8
1261.50833333333	0	28
1263.41666666667	0	114
1263.61666666667	0	118
1265.9425	0	114
1268.17583333333	0	118
1271.44333333333	0	114
1273.90166666667	0	118
1273.97666666667	0	114
1276.51166666667	0	8
1278.51083333333	0	28
1280.49416666667	0	118
1280.7775	0	114
1282.90333333333	0	118
1283.03583333333	0	114
1285.18666666667	0	118
1285.56166666667	0	114
1288.32	0	118
1290.77083333333	0	114
1290.95416666667	0	118
1293.51416666667	0	4
1295.5125	0	24
1297.32166666667	0	126
1297.66333333333	0	106
1299.87166666667	0	126
1300.07166666667	0	106
1302.26333333333	0	126
1302.58833333333	0	106
1304.50583333333	0	126
1304.98083333333	0	106
1307.95583333333	0	126
1307.9725	0	106
1310.5175	0	7
1312.52333333333	0	27
1313.93166666667	0	117
1314.47333333333	0	113
1317.2075	0	117
1319.2825	0	113
1319.6325	0	117
1322.16583333333	0	113
1324.525	0	117
1333.92	0	6
1335.91833333333	0	26
1337.47	0	110
1338.02666666667	0	122
1339.81	0	110
1340.12666666667	0	122
1342.6775	0	110
1345.0275	0	122
1345.13583333333	0	110
1347.96083333333	0	122
1347.98583333333	0	110
1350.9225	0	5
1352.92	0	25
1354.45333333333	0	109
1354.67083333333	0	121
1356.6625	0	109
1357.62916666667	0	121
1359.89583333333	0	109
1360.1225	0	121
1362.51333333333	0	109
1362.82166666667	0	121
1364.57166666667	0	109
1365.34666666667	0	121
1367.92416666667	0	2
1369.9225	0	22
1371.58083333333	0	130
1371.85583333333	0	102
1374.73166666667	0	130
1377.05666666667	0	102
1377.315	0	130
1379.55666666667	0	102
1379.65666666667	0	130
1381.9575	0	102
1382.3325	0	130
1384.92583333333	0	3
1386.92416666667	0	23
1388.98333333333	0	125
1389.35833333333	0	105
1391.625	0	125
1391.86666666667	0	105
1393.75916666667	0	125
1394.32583333333	0	105
1396.3675	0	125
1396.6175	0	105
1398.4425	0	125
1398.85916666667	0	105
1401.92916666667	0	2
1403.935	0	22
1405.61833333333	0	130
1406.26833333333	0	102
1407.66916666667	0	130
1408.59416666667	0	102
1410.33583333333	0	130
1410.9275	0	102
1412.73583333333	0	130
1413.49416666667	0	102
1416.22833333333	0	130
1418.93833333333	0	1
1420.93666666667	0	21
1422.52083333333	0	101
1423.35416666667	0	129
1425.34666666667	0	101
1425.40416666667	0	129
1427.44666666667	0	101
1427.64666666667	0	129
1429.92166666667	0	101
1429.93833333333	0	129
1432.7475	0	101
1433.28916666667	0	129
1435.94166666667	0	7
1437.93916666667	0	27
1439.17333333333	0	113
1439.78166666667	0	117
1441.50666666667	0	113
1442.79833333333	0	117
1445.27333333333	0	113
1447.4575	0	117
1450.34083333333	0	113
1452.9425	0	5
1454.94166666667	0	25
1455.98333333333	0	121
1456.225	0	109
1459.2675	0	121
1462.25916666667	0	109
1464.28416666667	0	121
1464.7675	0	109
1467.31833333333	0	121
1469.945	0	2
1471.94333333333	0	22
1473.7025	0	102
1474.3775	0	130
1476.1775	0	102
1476.5275	0	130
1478.87	0	102
